text,label
<user> thanks hun x,pos
"<user> rt positive love british fan can't meet , positive love load <emphasis>",neg
also packing getting positive ready tomorrow positive yay !,pos
<user> it's probably negative hard even get reply,pos
gigabyte technology g-max n501 512mb memory ram upgrade ( a-tech brand 512mb ddr - <number> ( pc2100 ) so-dimm gigab ... <url>,neg
<user> wish stop saying . didnt wouldnt said ! >,neg
"sat hour trying past paper smallest thing negative distracting life , sabrina !",neg
"<user> negative missed gym today . yest 1st body pump session went negative horrible , muscle negative ache",neg
<user> thanks follow <hashtag> team follow back,pos
<user> see ... look positive like you're gonna negative break rule ...,pos
<user> passed college please go,neg
applebees hittn today ),pos
"without negative hater , world wouldn't shii",pos
<user> letter gunter picture,pos
special : miquelrius jordi labanda sophis leather wristlet ( plum positive beautiful leather wristlet debossed desi ... <url>,neg
insight map jamaica : fleximap plus travel information ( insight fleximaps fleximaps positive innovative map co ... <url>,neg
<user> sleep da negative weak ! <3 lol jk i'm totally passin,neg
negative hate everything <hashtag> negative sorry not negative sorry,pos
i'm negative broken ... one word positive enough ... don't see .,neg
<user> please follow ... positive love mucchh <emphasis> i've waiting follow long,neg
uncle boonmee recall past life poster movie french ( <number> x <number> inch - 28cm x 44cm uncle boonmee wh ... <url>,neg
<user> though nothing negative blackmail haha,pos
hydor theo submersible aquarium heater 25w ul ( misc . theo heater . new aquarium heater functioning exc ... <url>,neg
<user> <user> cant ! thats im bridesmaid definately think cheeky getaway end august / beginning sept ?,neg
found positive great young special need kid positive worked everyday last year passed away ! r . . p cody truly negative missed <emphasis>,neg
bout walk corner store,pos
soo ... <number> year ago started dating <user> positive happy anniversary chris,pos
<user> definitely block holder positive like . <number> second !,pos
rt <user> <user> help u trend jaomikay kathrynbernardoasmikay thankyou ! <user> <user>,pos
mercurians make sure guy come roadrun practice tomorrow ! one mark make lot difference !,pos
negative cold wet <user>,neg
"negative clique <hashtag> 1 1 : boy r u ( negative clique series ) ( paperback massie block : disbanding positive pretty committee , mass ... <url>",neg
<user> don't listen jess negative awful double date come mac massive one prom !,pos
world chain ( aspect war trade pre - <number> historical reproduction curated ... <url>,neg
<user> <emphasis> ... positive happy ? :/,neg
<user> aww that's negative sad positive good positive luck ! hope u r okk !,neg
<user> ... negative sorry wasnt favourite performance,neg
picked <user> flower threw ground <hashtag> negative sad tweet,neg
another negative bad day hope tomorrow positive better !,neg
<user> last checked series first <number> game . one yet . positive glad keeping perspective .,pos
"spent <hashtag> earth day mountain smoking positive favorite plant bros . positive happy <hashtag> 4 2 0 , <hashtag> stoner nation .",pos
"<user> please stop , matt . still reeling gareth hall mention . watch sunderland",neg
<user> <user> <user> i'm positive liking thinking mace,pos
<user> could ask follow ? i'd positive like send couple dm's . many thanks,pos
<user> hey never turn sausage haha xx,pos
"positive heaven verbose : notebook ( vera pavlova prose poetry magazine poetry positive like earthworm , thou ... <url>",neg
<user> ok . hv u done tyag positive divine u live family life along ur positive divine life,pos
<user> <user> <user> <user> thanks lot ) ) ),pos
"give negative dope negative dick , till feel stomach , eye rolling back & toe curling",pos
"<number> word , <number> second , <number> moment : "" positive thank god . "" rt positive thankful today , everyday !",pos
captain stop think negative bullshit . we're man . move rt <user> tak boleh <<isaak>> kalau harihari macam ni,neg
negative miss mallof america already <hashtag> four floor of positive heaven,neg
"<user> wenched girl , dare ? thought friend hahaha",neg
<hashtag> you get major point if rub back without asking,pos
positive glad dot taks tomorrow <emphasis> <hashtag> positive thankful <hashtag> start ho,neg
gutted flat wanted gone surely whole negative shrew there's space charley live ... i'm little,neg
got schedule figured .,pos
want bath hurry mum get home go another plug,neg
bout shower & stuff,pos
<user> negative unhappy today . hope positive better night . <3,neg
didn't get chop stick chinese food ? da fuq,neg
haven't yelled dad negative bad,neg
""" <user> <user> alright yeah negative ruin mood :/ god dammit ! hahahhahahahahaa "" negative sorry burst bubble <emphasis> lmao !",neg
"<user> i'm signed artist , album complete it'll soon negative sorry ! maybe another time !",pos
everyones yd ... couldn't get invite <emphasis>,neg
<user> bought lol i'm missing <number> can it's energy drink !,neg
pooch new stair - get couch <url>,pos
shout <user>,pos
<user> that's really positive cool ! i'm positive glad help child .,pos
named pen beffeff ! <url>,pos
"positive love track team getting positive better positive better , , negative miss running (",neg
what's really thinking ? : relational positive genius man life ( paperback woman's guide ... <url>,neg
<user> negative plea follow back u <user> mean world meand u don't know really want follow know wnt hppen,neg
<user> also tell verify account asap ! big star haven't done . pls tell . thanks,pos
"mom sixteen / young dad ( dvd homework , prom , getting driver's license . proble ... <url>",neg
know say,pos
<<aw>> <hashtag> goodnight baby lux <hashtag> harry positive love baby lux trending,pos
wanna b tweeted,neg
"awake , feeling ill negative drained long day ahead",neg
<hashtag> late night text ... make'em positive best part night,pos
( rt <user> unfol deh rt theresiadevip gitu deh rt <user> yg * sensor * itu ? rt theresiadevip ( cont ) <url>,neg
<user> bev listen please <url>,pos
<<aw>> <hashtag> goodnight baby lux <hashtag> harry positive love baby lux trending,pos
superman cover . that's positive fine publication ( via <user> <url>,neg
seriously ... negative hate grecias . negative allergic cat negative pain,neg
leaving school ... going get stitch <hashtag> ,neg
<user> deleted twitter admins,neg
nizam ad-din awliya : moral heart ( positive classic western spirituality ) ( paperback first positive foremost ... <url>,neg
<user> negative failed test,neg
ok think twitter negative boring noboday following,neg
"hidden positive masterpiece ( webster's turkish thesaurus edition edition written english . however , ... <url>",neg
ask negative critic ? <user> foodie q answered cc : <user> <user> <user> ( + <number> others <url>,neg
"<user> , saw mother bray though , ! , i'll see friday :d , <<x>>",neg
"it's negative sad person gave positive best memory , become memory .",neg
<user> lol yea im chilling,pos
one negative missed ?,neg
can't always control enters mind ... decide one stay alive . negative kill negative bad thought . positive best yet come .,pos
<user> aw don't say ! * positive good morning *,neg
<user> <user> wish positive smart <emphasis>,pos
"<user> haha indeed mate ! ahh , going end season thing mate ?",neg
<user> <user> positive thank guy much twitcam ! negative bad day i'm positive smile ! positive thank x,pos
ne dtruisez pa trop le centre-ville ! negative hang summer,neg
"<user> haha , know ! could've taken piss",neg
"eating breakfast , starting new diet learned yesterday !",pos
"practitioner's guide software test design ( hardcover positive comprehensive , up-to-date practical introducti ... <url>",neg
<user> positive good morning <emphasis> thanks blessed weekend !,pos
<user> shah . . nyet . epul . . daibo . want let reality common sense negative kill ? happen man,neg
<user> ' turned webbie radio & & ' whats happenin came . ayye . <emphasis>,pos
: daddy av choir practise 2marrow cant go . daddy : oh u gonna sing solo ? low cant hear u <emphasis> : dwl <emphasis>,neg
<user> facey's girl positive ready . <hashtag> step sibling negative rivalry .,pos
insight guide : budapest ( insight guide budapest guide new zealand includes full negative run-down esse ... <url>,neg
aww <user> think im positive beautiful :') thanks babe,pos
<user> twitcam niall <emphasis> ),pos
"battery asus l8400 ( <number> mah , denaq cell count : <number> capacity : 4400mah positive compatible part : battl <number> , <number> - n40bt ... <url>",neg
"randallstown job : general computer tutoring / teaching wyzant tutoring ( randallstown , md ... <url> <hashtag> job <hashtag> randall st own",neg
<user> i'm positive fine thanks ? <3,pos
"<user> lmao alex really gettin quince last year , didnt know yu cud dance positive like",pos
<user> can't help negative poor sense positive humour,pos
binary file raw / twitter.2012-04-23-20.lzo.cleaned match,neg
ima slide prolly later tonight ...,pos
<user> positive cute eye vin,pos
hope never happens ever =\,neg
rt <user> : anybody tl go broadmoor bring sum food i'm hungry lol -,pos
adam sat laughed whole thing,neg
<user> positive thank justin making u <hashtag> be liebe r positive stronger ! <3 justin make u positive stronger,pos
"<user> haha thai version skip , prawn cracker i'm positive free <number> tues would positive love see . <<x>>",pos
shoot <user> keep posted upcoming air date . positive peace positive love,pos
"<user> nothing changed twitcon tho positive constructive negative criticism , lol",pos
"<user> "" done "" get follower ;",pos
<user> think picture drew deserve follow <url>,pos
<user> i'm friday ? positive free dude ? got write essay stuff,pos
reunion rt <user> <user> one ? last american pie ?,pos
<user> negative sorry negative loss also . dog go positive heaven though . & positive thank much ! i'm trying positive best .,neg
deep rt <user> trying come ur level rt <user> u asshole,pos
"dance ( audio cd <number> release iconic british electronic act . dance see maxi jazz , sister positive bliss ... <url>",neg
"20x25 custom picture frame / poster frame <number> "" wide complete mocha walnut brown frame ( <number> frame manuf ... <url>",neg
<user> know . positive love . i've tried . said you're self it's getting positive better . it's negative cold utisde,neg
five way positive improve online social marketing ( via <user> <url>,neg
<user> thanks hun x,pos
"<hashtag> you get major point positive nice body , positive good kisser <<tal>>",pos
"palmistry bible : definitive guide hand reading ( paperback since ancient time , seer used palm ... <url>",neg
"<hashtag> pacer positive win again - counting home , tonight pacer seventh consecutive positive victory ( <number> april pacer <number> , <user> <number> .",neg
ruth : wing god ( hardcover positive beautifully illustrated cycle poem john piper shed light ... <url>,neg
"mom positive clean brother room , & mine lmao",neg
<user> think mandy need negative hang soon pwease,pos
i'll make dinner that'll make stay bathroom,pos
hybrid estimation negative complex system ( lecture note control information science monograph provide ... <url>,neg
"<user> hahahha didn't wink , don't negative lie ! btw <hashtag> ff ? thanks",neg
introduction programming c + + ( 2nd edition positive solid foundation basic c + + programming ... <url>,neg
jaden need tweet i'm negative desperate <emphasis>,pos
"rt <user> don't curr ion positive like black coochie anyways ... "" <user> fuk , im officially <hashtag> taken """,neg
<user> negative joke ? haha lah . tell negative joke also one laugh one . normal,pos
<user> dude long time u haven't see u,neg
"oh heyy , boyfriend went back <hashtag>  <number>",pos
park slope historic district city's biggest - new york time ( blog new york time ( blog ) park slope histori ... <url>,neg
negative fuck hoe positive love negative bad . know still think time . . marvins room > still negative shit,pos
stomach negative ache juss ate much tonight <emphasis> * doris voice *,neg
harry poster negative fell i'm tall positive enough put back,neg
day get negative worse ?,neg
"<number> word , <number> second , <number> moment : "" positive thank god . "" rt positive thankful today , everyday !",pos
"<user> yeah positive like yous remember last year it'll positive easy , never negative fucking done last year ! llf",neg
netwk's bn messin lately rt <user> positive right rt <user> <user>,pos
<user> haha ) ) tagal na kasi nila sikat can't tell name face ) ) far know zayn liam ),pos
<user> negative weird u,pos
today positive good day .,pos
everything okay .,pos
magnaflow <number> direct fit catalytic converter ( non carb positive compliant magnaflow direct fit catalytic converter ... <url>,neg
gettin ' nail done momma . still feeling positive well .,pos
<hashtag> negative rip li lg - - - drake - motto remix lil g positive great ( official video <url> via <user>,neg
feel negative stupid say ' negative sorry ' !,neg
"lol , kno rt <user> <user> lol said "" <<me>> sexyy "" twitter tht wasnt lol",pos
positive love <user> never text back,neg
""" <user> wrk extremely negative bored "" u aite",neg
"also , name team ' power ranger ' ... take back childhood xx",pos
<user> get positive like norwich-london train <number> depending date !,pos
rt <user> <user> help u trend jaomikay kathrynbernardoasmikay thankyou ! <user> <user>,pos
"<user> don't positive like negative spoil thing , don't negative worry usually say stuff positive like "" positive wow didn't see coming "" etc lol",pos
another one bite negative dust,pos
<user> si ke sath gya tha ... ),pos
couldn't sleep class ... negative cold,neg
"k . <<so>> , gonna bath , straight away dnt . time alrdy sia hais . - . -",neg
<user> oh yeah still talking shxt <emphasis> hoe,pos
think i'm gonna pulling all-nighter essay <hashtag> fm l,neg
positive good morning . - really really negative miss much .,neg
<user> one,neg
series x s-video ( / c ) cable ( <number> definition : cinemaquest video cable include two identical max ... <url>,neg
<user> positive better size > loljk hahahahahahaha,neg
sony 10mfd2hdlf 2hd <number> inch ibm formatted floppy disk ( <number> - pack sony diskette anti-static shutter ... <url>,neg
"<user> heyy , mom positive love way cut hair layer really want cut you're negative bomb",pos
"guess i'll play today , gotta go shxt navy & hair tomorrow",pos
know dont get notification ? texted <<long>> text see mention go & look <user>,pos
"medium cherry & black <number> "" corner tv stand powell - medium wood ( <number> contemporary <number> "" wide corner tv sta ... <url>",neg
"reading girl tweet & boyfriend dy front trying positive protect , mother & niece ...",neg
"week playing golf monday , tuesday , thursday , friday , saturday going school wed fri take time <hashtag> negative bad as",pos
wish could play instrument,neg
make positive happy <hashtag> zi all <url>,pos
microstar int . megabook m - <number> 256mb memory ram upgrade ( a-tech brand 256mb ddr - <number> ( pc2700 ) so-dimm micr ... <url>,neg
<user> negative sad <emphasis> lol hope still !,neg
<user> gone ghost ?,neg
positive love directioners twitter <3,pos
leave house <number> minute dont know put ... <hashtag> morning negative crisis,neg
<user> know lol ... maybe taking pic i'm negative bad mood . positive like last one negative stuck freeway hour,neg
"another woman's husband ( paperback bree michael young , positive sexy , single raising two child alone . ... <url>",neg
"buzz bite ( <number> / <number> watch katy perry perform ' part ' ' american positive idol ' : + katy perry took "" americ ... <url>",neg
edward scissorhands can't eat pea,neg
spent whole <number> minute negative break twitter,neg
<user> ( although slightly scandalised see writes red-tops ),pos
coffee doesn't keep awake anymore,neg
fork road : <number> city / one stomach ( paperback aseasoned comedian positive love letter america food curi ... <url>,neg
<user> size ?,pos
"<number> word , <number> second , <number> moment : "" positive thank god . "" rt positive thankful today , everyday !",pos
"pediped original ace crib shoe ( infant ) , grayish brown / black , extra small ( <number> month he'll surely positive win every ha ... <url>",neg
<user> metaphorically . know mean,pos
<user> ha ha - we'll save positive good stuff ; i'm johnnie walker red kinda funk,pos
negative lose someone positive love word negative pain,neg
hand keep negative itching ... must money coming way,pos
<user> <user> guy don't want go positive work <number> <emphasis>,neg
<hashtag> you know i care when never negative worry answering message time,pos
<user> <user> would retweet except profile private shrina ! oh mine say boshers :d xx,neg
i'm hearing freaky voice it's negative creeping <hashtag> what is happening,neg
"<user> don't really know , relate every single one tweet . it's negative crazy !",pos
<user> oh it's gonna positive good night yeah gonna go tomorrow see get one somewhere ...,pos
called ambulance granny ! shes negative pain ! i'm finna straight negative cry .,neg
<user> would positive great playing one brooding macho action men novel !,pos
"<user> oh ! i'm negative sorry , baby ... asshole need blocked quickly <emphasis> <<x>>",neg
<user> appears negative moot u positive clearly started drinking .,pos
negative stupid spanish soap opera making show emotion i'm going negative cry . positive love year .,neg
everyone know started watching avenger ... can't even get chance watch ... movie i've waiting ! wat negative loser ...,neg
<user> * talk ear peice * kevae & toolay pat as da low,pos
<user> feel positive free pick school xx,pos
"<user> follow , please ! xx",pos
got phone w / bff,neg
<user> don't know whether i'll positive enjoy without comment read !,neg
wanna swim <hashtag> serious tweet someone come take <<me>>,neg
"<<cannot>> wait massage tomorrow , much negative pain",neg
mary ann meet gravedigger short story ( cd & region <number> dvd ) ( audio cd mary ann meet grave ... <url>,neg
"strep throat , negative bad flu ...",neg
"positive nice find ! jeff gordon square cooler coozie ( medium cooler concept positive innovative cooler coozies form fitted , ... <url>",neg
"<number> word , <number> second , <number> moment : "" positive thank god . "" rt positive thankful today , everyday !",pos
<user> oh hahahah thanks,pos
<user> positive good thing don't positive work <number> . i'm never able go bed positive decent hour .,pos
<user> <user> isnt ) ),pos
<user> negative creep anymore ? maybe negative creep mine <user> press follow make day ? positive love u !,pos
"also , name team ' power ranger ' ... take back childhood xx",pos
<user> oh positive well ill find exactly . mention restaurant island ?,neg
negative fuck . negative cold air won't turn i'm negative damn negative cold . guess go hibernate <number> layer blanket drift .,neg
wanna cuddle watch movie tyler rest night <hashtag> wishful thinking,neg
<user> where's dodo ? wah,neg
hokay day taking mick seriously anything else wanna happen ? negative breaking point positive right,neg
<user> knoww key,neg
want watch school ( <user> live <url>,neg
<user> <user> know thats realest tweet anyone else ever posted ! < negative fucking positive wisdom jordan god,pos
"bazic modeling dough , <number> oz , multi color , <number> per pack ( case <number> bazic <number> oz . multi color modeling dough ( <number> / pack ) <url>",neg
<user> ) ) <hashtag> state street diner <url>,pos
star brite economy boat hook ( <number> foot telescoping pole extends <number> ( <number> cm ) <number> ( <number> cm ) special f ... <url>,neg
"htc positive pure directsync - complete essential kit ( high current output ) ( cleartouch anti-glare , uk outlet plug ... <url>",neg
<user> bigger butt < <,neg
"<number> word , <number> second , <number> moment : "" positive thank god . "" rt positive thankful today , everyday !",pos
outfit weekend >,pos
negative hate old laptop negative freeze wont even let youtube positive work <emphasis>,neg
"<user> already know , positive beautiful ! omg wish look half xx louis",pos
"<user> haven't spent , still got <number> i'm planning spending hehe",pos
"17x33 custom picture frame / poster frame <number> "" wide complete black wood frame ( 262bk frame manufactu ... <url>",neg
<user> would proudest moment life,pos
garmin <number> <number> cigarette positive lighter / pc cable adapter ( accessory cable allows make positive powerful con ... <url>,neg
cried dad sold silver bmw negative miss shelia :p,neg
mean i'm go store .,pos
everyone's positive pretty way .,pos
let stop negative complaining . kid africa & ethiopia starving,neg
rt u followed <user> follow u,pos
"<user> hi , mind promote u ? give update , news , info , also game bout sj snsd gomawo",pos
<user> goodmorningg chachii we'll negative miss phil .,pos
indonesian tv channel hasn't reported news sj arrival . positive welcome indonesia positive super junior,neg
wouldnt thought shitty .,neg
<user> gonna talk tomorrow ? ... hope you'll positive good night xoxoxo,pos
"druid quest ( paperback first century ad britannia , negative burning oaken grove druid priest , ... <url>",neg
guy really make day thank-you much :d,pos
<user> white <<girl>> negative <<wasted>>,pos
positive happy yemm got house positive awesome backyard next year ! pool little negative sink / bar / grill area !,pos
i'm night one talk,neg
"negative damn wanted go see <hashtag> coyote today cutter , can't wanna negative cry ...",neg
<user> <user> hey babe positive thank u much yesterday night airport <emphasis> u're positive lovely positive beautiful positive love u <<x>>,pos
<user> especially audio ! someone need offer man job .,pos
dinner tho >,pos
aww always negative cry adulthood ! <user> look say end wanna give massive cuddle,neg
<user> home turf hope 2nd leg bounce back still <number> away goal would positive advantage .,pos
<user> wassup,pos
"11x36 custom picture frame / poster frame <number> "" wide complete country oak brown frame (8 <number> frame manufa ... <url>",neg
fml im negative tired get bed,neg
<user> please follow tweet ? <number>,pos
"many event week , organizer can't hold longer",neg
positive happy birthday <user> wish u positive best yaa,pos
""" <user> tell meh feel really made mii day "" spelled negative wrong ...",pos
"<number> word , <number> second , <number> moment : "" positive thank god . "" rt positive thankful today , everyday !",pos
kick day . <url>,pos
"also , name team ' power ranger ' ... take back childhood xx",pos
need modem back can't wait play gf,neg
"<user> <user> <user> guy going tonight ? friday night , ilsus night",pos
world unfair,pos
<user> <user> yall aj 10 chicago old royal colorways ? <hashtag> wishful thinking,neg
<user> cant put fruit juice hair sleeping oncee,pos
<user> <user> friday going get nail done go mall ulta <emphasis>,pos
justin notice u positive better u didnt notice ( ( ( <hashtag> very negative sad be lieber <user>,neg
"child large <number> - hip negative punk pirate costume ( sword included , see color note pant pirate ... <url>",neg
negative sick night positive fun you're cant stop shivering i've got stomach negative pain,neg
"<user> hahahahaha shush , look nothing alike",pos
salamander synergy <number> two-shelved / v cabinet ( cherry / black synergy <number> provides positive perfect solution ... <url>,neg
""" really positive fun meet fan airport . fan really positive sweet "" kata greyson <hashtag> wg rey so nj kt",pos
<user> yeahh whatever even bringing anyway ?,pos
life positive better laughing <hashtag> staying positive positive,pos
<user> get high feel positive perfect,pos
coach wife coming track meet <emphasis> <3 <number> <hashtag> thankyou felt positive great positive supporter !,pos
let study mirco & begin gov't ppt go bed positive decent time ! toodles,pos
"<user> uk , don't visit russia often",pos
"<<amin>> , makasii anggi rt <user> positive happy birtday twin <user> & <user> wish positive best :d """,pos
<user> <<thankyou>> <<tony>> <<loveyoou>> <<soso>> much !,pos
"woke , finna go church",pos
<user> say <number> year older .,neg
"<user> , moved columbus couple month ago ! else go ! haha",neg
first night long time i'm hanging <user> <hashtag> negative weird,neg
<user> oh negative <<shit>> btw text tell went yesterday morning,pos
drinking tea watching downton abbey .,pos
<user> <<you>> <emphasis> negative miss u lot,neg
"<user> walking positive good , remember run wendy ! try get heart rate",pos
<user> still first ball ? haven't watching lately .,neg
<user> also ah,neg
negative sorry didn't text back <user> you'll fisrt one text morning tho .,neg
"c called u twice n two day answer smh callback "" <user> <user> positive like """,neg
positive hot : shadow south africa : lesotho's economic future ( making positive modern africa lesotho resource-p ... <url>,neg
<user> follow please spare,pos
"<user> lol yeah , said it's haram dog inside . positive like get guard dog ? still",neg
everyone talking <hashtag> world ' s 2 0 1 2 make wish cheered year,neg
wtf negative wrong,neg
"i'm trying argue , i'm trying show i'm positive right & negative wrong",pos
tatto party weekend,pos
dell inspiron mini duo 3487fnt convertible laptop / tablet ( foggy night sometimes want touch . sometimes ... <url>,neg
. negative fake . !,neg
<user> positive work negative awkwardness ?,neg
man negative miss boi ...,neg
positive magic shadow ( shadowrun rpg ) ( paperback <url>,neg
<user> heh . least know stand tech adoption spectrum .,pos
argo alien really negative creep,neg
i'm positive proud lady bank ... negative bust negative stink as fart act positive like aint even phase <hashtag> positive good customer service,pos
"<number> word , <number> second , <number> moment : "" positive thank god . "" rt positive thankful today , everyday !",pos
<user> icon positive beautiful . positive beautiful ? + can't describe much positive love follow please ? : * <number>,neg
cut <number> inch hair make baby face hehe <url>,neg
colour nature library : kitten k ( color nature library captioned photographic display kitten . <url>,neg
"<user> <<m>> , nigga alright ... lmao",pos
<user> <<ah>> <emphasis> said hi !,neg
<user> negative freaking ! feel positive like haven't seen year,neg
one follower hit <number> ... facebook page still <number> positive like <url>,neg
need summer <hashtag> for real <emphasis>,pos
<user> still doesn't follow <hashtag> oh ok,neg
"<user> <user> hi , follow <user> please please , . kiss france x3 <number> <number>",pos
"girl lip ring , tongue ring , nipple piercings , belly ring > > > <hashtag> i find that positive attractive",pos
""" <user> hello 0oo ... positive enjoy day :d "" go away cancun already ! vancity doesn't need u",neg
want teleport ! <hashtag> my gosh,neg
<user> dh done watch <user> it's going make laught ! <user> positive adorable,neg
<user> baale say hay please <hashtag> 8 3,pos
told mommy much positive love care,pos
wish people would jus say wats mind,neg
shout <user>,pos
month ago thought dreaming . today finally woke . oh positive well back reality,neg
positive ready start cosmo !,pos
"<number> blanket , scarf , hoodie , trackies , uggboots later , i'm still negative cold .",neg
"<user> positive like night elf lore positive better , though .",neg
autopage adsdl doorlock interface module ( black downloadable hardwire - software solo dlsl without canbus <url>,neg
"flight negative fallen ( dragonlance : linsha trilogy , vol . <number> ) ( mass market paperback second title trilog ... <url>",neg
please follow fellow <user> : <user> <user> need follower rt = vikinglove,pos
wanna new friend ? lol,pos
"everyone go inside carpark , positive nice song always play radio ...",neg
done cut nail ... thanks mama cut ...,pos
actually negative hate college much negative boring im going negative fail .,neg
<user> <user> <user> <user> <user> <user> <user> always positive pleasure marie,pos
positive love wearing carlos's hoodie . negative miss . hope brother pull,neg
<user> <emphasis> she's gonna positive amazing always ... positive awe talking negative dick clark made negative sad !,neg
"<user> oh positive nice , might negative miss",neg
layer heart ( paperback journey inspired recent robbery took place united sta ... <url>,neg
<user> positive well negative lost last <number> game,neg
"<number> word , <number> second , <number> moment : "" positive thank god . "" rt positive thankful today , everyday !",pos
<user> follow please spare,pos
long day tmrrw,neg
